Symbol,Side,Type,Qty,Filled Qty,Limit Price,Stop Price,Avg Fill Price,Status,Update Time,commission,fee,Order ID
AAPL,Buy,LMT,40,40,204.50,,204.50,Filled,07/06/2026 09:41:12 EDT,0.00,,SMPL0001
AAPL,Sell,LMT,40,40,205.90,,205.90,Filled,07/06/2026 10:15:40 EDT,0.00,0.12,SMPL0002
SPY,Buy,MKT,10,10,,,622.80,Filled,07/06/2026 11:05:33 EDT,0.00,,SMPL0003
SPY,Sell,MKT,10,10,,,621.90,Filled,07/06/2026 11:32:08 EDT,0.00,0.06,SMPL0004
NVDA,Buy,LMT,50,50,154.20,,154.20,Filled,07/06/2026 13:20:45 EDT,0.00,,SMPL0005
NVDA,Sell,LMT,50,50,155.30,,155.30,Filled,07/06/2026 14:05:17 EDT,0.00,0.10,SMPL0006
TSLA,Buy,MKT,20,20,,,248.00,Filled,07/07/2026 09:52:21 EDT,0.00,,SMPL0007
TSLA,Sell,MKT,20,20,,,245.90,Filled,07/07/2026 10:40:55 EDT,0.00,0.08,SMPL0008
NVDA,Buy,LMT,40,0,152.00,,,Cancelled,07/07/2026 11:15:00 EDT,,,SMPL0009
AMD,Buy,LMT,30,30,158.40,,158.40,Filled,07/07/2026 12:10:02 EDT,0.00,,SMPL0010
AMD,Sell,LMT,30,30,159.80,,159.80,Filled,07/07/2026 13:00:30 EDT,0.00,0.07,SMPL0011
AAPL,Buy,MKT,30,30,,,205.10,Filled,07/08/2026 09:46:05 EDT,0.00,,SMPL0012
AAPL,Sell,MKT,30,30,,,205.70,Filled,07/08/2026 09:58:44 EDT,0.00,0.06,SMPL0013
NVDA,Buy,LMT,40,40,155.00,,155.00,Filled,07/08/2026 10:02:19 EDT,0.00,,SMPL0014
NVDA,Sell,MKT,40,40,,,154.55,Filled,07/08/2026 10:21:37 EDT,0.00,0.08,SMPL0015
NVDA,Buy,MKT,80,80,,,154.40,Filled,07/08/2026 10:29:52 EDT,0.00,,SMPL0016
NVDA,Sell,LMT,80,80,155.05,,155.05,Filled,07/08/2026 10:52:10 EDT,0.00,0.16,SMPL0017
SPY,Sell,MKT,10,10,,,624.50,Filled,07/08/2026 11:15:26 EDT,0.00,0.06,SMPL0018
SPY,Buy,MKT,10,10,,,623.80,Filled,07/08/2026 11:41:49 EDT,0.00,,SMPL0019
META,Buy,LMT,5,5,702.00,,702.00,Filled,07/08/2026 12:30:15 EDT,0.00,,SMPL0020
META,Sell,LMT,5,5,704.50,,704.50,Filled,07/08/2026 13:10:41 EDT,0.00,0.04,SMPL0021
AMD,Buy,MKT,30,30,,,159.00,Filled,07/08/2026 13:45:33 EDT,0.00,,SMPL0022
AMD,Sell,MKT,30,30,,,158.60,Filled,07/08/2026 14:12:58 EDT,0.00,0.07,SMPL0023
AAPL,Buy,LMT,25,25,206.00,,206.00,Filled,07/08/2026 14:30:27 EDT,0.00,,SMPL0024
AAPL,Sell,LMT,25,25,206.40,,206.40,Filled,07/08/2026 15:10:12 EDT,0.00,0.05,SMPL0025
MSFT,Buy,LMT,15,15,498.50,,498.50,Filled,07/09/2026 10:05:48 EDT,0.00,,SMPL0026
MSFT,Sell,LMT,15,15,501.20,,501.20,Filled,07/09/2026 11:20:23 EDT,0.00,0.08,SMPL0027
MSFT,Buy,STP,10,0,,505.00,,Pending,07/09/2026 12:00:00 EDT,,,SMPL0028
PLTR,Buy,LMT,80,60,148.80,,148.80,Partial Filled,07/09/2026 13:30:11 EDT,0.00,,SMPL0029
PLTR,Sell,MKT,60,60,,,147.95,Filled,07/09/2026 14:15:36 EDT,0.00,0.09,SMPL0030
SPY,Buy,MKT,10,10,,,626.10,Filled,07/10/2026 09:32:10 EDT,0.00,,SMPL0031
SPY,Sell,MKT,10,10,,,627.30,Filled,07/10/2026 10:05:29 EDT,0.00,0.06,SMPL0032
NVDA,Buy,LMT,100,100,155.50,,155.50,Filled,07/10/2026 11:10:14 EDT,0.00,,SMPL0033
NVDA,Sell,LMT,60,60,156.80,,156.80,Filled,07/10/2026 12:55:47 EDT,0.00,0.11,SMPL0034
NVDA,Sell,MKT,40,40,,,157.05,Filled,07/10/2026 13:40:03 EDT,0.00,0.07,SMPL0035
AAPL,Buy,LMT,20,20,207.00,,207.00,Filled,07/13/2026 09:47:18 EDT,0.00,,SMPL0036
AAPL,Buy,MKT,20,20,,,207.40,Filled,07/13/2026 09:55:42 EDT,0.00,,SMPL0037
